codi_ine,nom
250019,Abella de la Conca
080018,Abrera
250024,Àger
250030,Agramunt
080023,Aguilar de Segarra
170010,Agullana
080142,Aiguafreda
430017,Aiguamúrcia
170025,Aiguaviva
250387,Aitona
250045,"Alamús, els"
250058,Alàs i Cerc
250061,"Albagés, l'"
170031,Albanyà
250077,Albatàrrec
250083,Albesa
250096,"Albi, l'"
430022,Albinyana
430038,"Albiol, l'"
170046,Albons
430043,Alcanar
250100,Alcanó
250117,Alcarràs
250122,Alcoletge
430056,Alcover
439044,"Aldea, l'"
430069,Aldover
430075,"Aleixar, l'"
080039,Alella
430081,Alfara de Carles
250138,Alfarràs
250143,Alfés
430094,Alforja
250156,Algerri
250169,Alguaire
250175,Alins
430108,Alió
250194,Almacelles
250208,Almatret
250215,Almenar
430115,Almoster
250220,Alòs de Balaguer
170062,Alp
080044,Alpens
250236,Alpicat
250241,Alt Àneu
430120,Altafulla
170078,Amer
430136,"Ametlla de Mar, l'"
080057,"Ametlla del Vallès, l'"
439060,"Ampolla, l'"
430141,Amposta
170084,Anglès
250273,Anglesola
250292,Arbeca
430167,"Arboç, l'"
430154,Arbolí
170097,Arbúcies
080060,Arenys de Mar
080076,Arenys de Munt
170101,Argelaguer
080082,Argençola
430173,"Argentera, l'"
080095,Argentona
170118,"Armentera, l'"
430189,Arnes
250313,Arres
250328,Arsèguel
080109,Artés
250334,Artesa de Lleida
250349,Artesa de Segre
430192,Ascó
250365,Aspa
250371,"Avellanes i Santa Linya, les"
080116,Avià
080121,Avinyó
170123,Avinyonet de Puigventós
080137,Avinyonet del Penedès
080155,Badalona
089045,Badia del Vallès
080168,Bagà
250390,Baix Pallars
250404,Balaguer
080174,Balenyà
080180,Balsareny
430206,Banyeres del Penedès
170157,Banyoles
250411,Barbens
430213,Barberà de la Conca
082520,Barberà del Vallès
080193,Barcelona
250426,"Baronia de Rialb, la"
170160,Bàscara
250447,Bassella
430228,Batea
250450,Bausen
080207,Begues
170139,Begur
250463,Belianes
250485,Bell-lloc d'Urgell
251706,Bellaguarda
170182,Bellcaire d'Empordà
250479,Bellcaire d'Urgell
250498,Bellmunt d'Urgell
430234,Bellmunt del Priorat
080214,Bellprat
250501,Bellpuig
430249,Bellvei
250518,Bellver de Cerdanya
250523,Bellvís
250539,Benavent de Segrià
430252,Benifallet
430265,Benissanet
080229,Berga
170195,Besalú
170209,Bescanó
170216,Beuda
080235,Bigues i Riells del Fai
250557,Biosca
170221,"Bisbal d'Empordà, la"
430271,"Bisbal de Montsant, la"
430287,"Bisbal del Penedès, la"
172348,Biure
430290,Blancafort
170237,Blanes
170293,Boadella i les Escaules
170242,Bolvir
430304,Bonastre
250576,"Bòrdes, Es"
170255,Bordils
250582,"Borges Blanques, les"
430311,"Borges del Camp, les"
170268,Borrassà
080240,Borredà
250595,Bossòst
430326,Bot
430332,Botarell
250560,Bovera
430347,Bràfim
170274,Breda
080253,"Bruc, el"
080266,"Brull, el"
170280,Brunyola i Sant Martí Sapresa
430350,Cabacés
250609,Cabanabona
170314,Cabanelles
170307,Cabanes
080272,"Cabanyes, les"
250616,Cabó
430363,Cabra del Camp
080288,Cabrera d'Anoia
080291,Cabrera de Mar
080305,Cabrils
170329,Cadaqués
080312,Calaf
430379,Calafell
080348,Calders
080327,Caldes d'Estrac
170335,Caldes de Malavella
080333,Caldes de Montbui
080351,Calella
080370,Calldetenes
080386,Callús
080364,Calonge de Segarra
170340,Calonge i Sant Antoni
250621,Camarasa
439039,Camarles
430385,Cambrils
170353,Camós
170366,Campdevànol
170372,Campelles
080399,Campins
170388,Campllong
170391,Camprodon
250637,Canejan
170405,Canet d'Adri
080403,Canet de Mar
439076,"Canonja, la"
080410,Canovelles
080425,Cànoves i Samalús
170412,Cantallops
080431,Canyelles
430398,Capafonts
430402,Capçanes
080446,Capellades
170427,Capmany
080459,Capolat
080462,Cardedeu
080478,Cardona
080484,Carme
430419,Caseres
170448,Cassà de la Selva
080497,Casserres
170486,"Castell d'Aro, Platja d'Aro i s'Agaró"
080575,Castell de l'Areny
259046,Castell de Mur
250642,Castellar de la Ribera
080522,Castellar de n'Hug
080500,Castellar del Riu
080517,Castellar del Vallès
080538,Castellbell i el Vilar
080543,Castellbisbal
080556,Castellcir
250674,Castelldans
080569,Castelldefels
080581,Castellet i la Gornal
170464,Castellfollit de la Roca
080608,Castellfollit de Riubregós
080594,Castellfollit del Boix
080615,Castellgalí
080620,Castellnou de Bages
250680,Castellnou de Seana
170470,Castelló d'Empúries
250693,Castelló de Farfanya
080636,Castellolí
250707,Castellserà
080641,Castellterçol
430424,Castellvell del Camp
080654,Castellví de la Marca
080667,Castellví de Rosanes
430430,"Catllar, el"
250714,Cava
171899,"Cellera de Ter, la"
170499,Celrà
080673,Centelles
082687,Cercs
082665,Cerdanyola del Vallès
080689,Cervelló
250729,Cervera
250735,Cervià de les Garrigues
170502,Cervià de Ter
170519,Cistella
250740,Ciutadilla
250753,Clariana de Cardener
250766,"Cogul, el"
170545,Colera
250772,Coll de Nargó
080692,Collbató
430458,Colldejou
080706,Collsuspina
170558,Colomers
251636,"Coma i la Pedra, la"
251615,Conca de Dalt
430461,Conesa
430477,Constantí
080713,Copons
430483,Corbera d'Ebre
080728,Corbera de Llobregat
250788,Corbins
170577,Corçà
080734,Cornellà de Llobregat
170561,Cornellà del Terri
430496,Cornudella de Montsant
430509,Creixell
170583,Crespià
179011,"Cruïlles, Monells i Sant Sadurní de l'Heura"
080749,Cubelles
250791,Cubells
430516,Cunit
170600,Darnius
170617,Das
439018,Deltebre
080752,Dosrius
430537,Duesaigües
170622,"Escala, l'"
080765,Esparreguera
170638,Espinelves
250812,"Espluga Calba, l'"
430542,"Espluga de Francolí, l'"
080771,Esplugues de Llobregat
170643,Espolla
170656,Esponellà
250827,Espot
080787,"Espunyola, l'"
082541,"Esquirol, l'"
250886,Estamariu
080790,"Estany, l'"
250851,Estaràs
250864,Esterri d'Àneu
250870,Esterri de Cardós
430555,Falset
170059,"Far d'Empordà, el"
250899,Farrera
430568,"Fatarella, la"
430574,"Febró, la"
081347,Figaró-Montmany
080804,Fígols
259084,Fígols i Alinyà
430580,"Figuera, la"
170669,Figueres
430593,Figuerola del Camp
170675,Flaçà
430607,Flix
250925,"Floresta, la"
080826,Fogars de la Selva
080811,Fogars de Montclús
170681,Foixà
080832,Folgueroles
250931,Fondarella
080847,Fonollosa
080850,Font-rubí
170694,Fontanals de Cerdanya
170708,Fontanilles
170715,Fontcoberta
250946,Foradada
179026,Forallac
430614,Forès
170736,Fornells de la Selva
170741,Fortià
080863,"Franqueses del Vallès, les"
430629,Freginals
250962,"Fuliola, la"
250978,Fulleda
080902,Gaià
430635,"Galera, la"
080879,Gallifa
430640,Gandesa
430653,Garcia
430666,"Garidells, els"
080885,"Garriga, la"
170754,Garrigàs
170767,Garrigoles
170773,Garriguella
080898,Gavà
250984,Gavet de la Conca
080919,Gelida
170789,Ger
259123,Gimenells i el Pla de la Font
430672,Ginestar
170792,Girona
080924,Gironella
080930,Gisclareny
430688,Godall
250997,Golmés
170806,Gombrèn
251001,Gósol
080945,"Granada, la"
251018,"Granadella, la"
080958,Granera
251023,"Granja d'Escarp, la"
080961,Granollers
251039,Granyanella
251057,Granyena de les Garrigues
251044,Granyena de Segarra
430691,Gratallops
080977,Gualba
170813,Gualta
080996,Guardiola de Berguedà
430705,"Guiamets, els"
170828,Guils de Cerdanya
251095,Guimerà
259031,"Guingueta d'Àneu, la"
251109,Guissona
251116,Guixers
081000,Gurb
430712,Horta de Sant Joan
081017,"Hospitalet de Llobregat, l'"
081629,"Hostalets de Pierola, els"
170834,Hostalric
081022,Igualada
251155,Isona i Conca Dellà
170849,Isòvol
251137,Ivars d'Urgell
251121,Ivars de Noguera
251142,Ivorra
170852,Jafre
170865,"Jonquera, la"
081038,Jorba
259101,Josa i Tuixén
170871,Juià
251180,Juncosa
251193,Juneda
251214,Les
251229,Linyola
081043,"Llacuna, la"
170887,Lladó
251235,Lladorre
251240,Lladurs
081056,"Llagosta, la"
170890,Llagostera
170904,Llambilles
170911,Llanars
170926,Llançà
251253,Llardecans
251266,Llavorsí
251207,Lleida
170932,Llers
251272,Lles de Cerdanya
081075,Lliçà d'Amunt
081081,Lliçà de Vall
251288,Llimiana
081069,Llinars del Vallès
170947,Llívia
430727,"Lloar, el"
251291,Llobera
430733,Llorac
430748,Llorenç del Penedès
170950,Lloret de Mar
170963,"Llosses, les"
081094,Lluçà
171024,Maçanet de Cabrenys
171030,Maçanet de la Selva
170979,Madremanya
170985,Maià de Montcal
251333,Maials
251305,Maldà
081108,Malgrat de Mar
081115,Malla
081120,Manlleu
081136,Manresa
430764,Marçà
430751,Margalef
082423,Marganell
081141,Martorell
081154,Martorelles
430770,Mas de Barberans
171002,Masarac i Vilarnadal
430786,Masdenverge
081167,"Masies de Roda, les"
081173,"Masies de Voltregà, les"
430799,Masllorenç
081189,"Masnou, el"
430803,"Masó, la"
430810,Maspujols
081192,Masquefa
430825,"Masroig, el"
251312,Massalcoreig
171019,Massanes
251327,Massoteres
081206,Matadepera
081213,Mataró
081228,Mediona
251348,Menàrguens
170998,Meranges
171058,Mieres
430831,"Milà, el"
251351,Miralcamp
430846,Miravet
081385,Moià
430859,"Molar, el"
081234,Molins de Rei
251370,Mollerussa
171061,Mollet de Peralada
081249,Mollet del Vallès
171077,Molló
251364,"Molsosa, la"
081287,Monistrol de Calders
081271,Monistrol de Montserrat
430918,Mont-ral
171100,Mont-ras
430923,Mont-roig del Camp
171096,Montagut i Oix
430862,Montblanc
430884,Montbrió del Camp
081252,Montcada i Reixac
081304,Montclar
251399,Montellà i Martinet
081311,Montesquiu
251403,Montferrer i Castellbò
430897,Montferri
251386,Montgai
081265,Montgat
081326,Montmajor
081332,Montmaneu
430901,"Montmell, el"
081350,Montmeló
251425,Montoliu de Lleida
251410,Montoliu de Segarra
251431,Montornès de Segarra
081363,Montornès del Vallès
081379,Montseny
430939,Móra d'Ebre
430944,Móra la Nova
430957,"Morell, el"
